category,sku,title,option,map,wholesale,shipping,profit,profitPct,10PD,15PD,notes
Pre-Made Cages,21NYLON1255,Nylon #21 12x12x55,,$834.00,$439.00,$100.00,$395.00,47.4%,$311.60,$269.90,
Pre-Made Cages,21NYLON1455,Nylon #21 12x14x55,,$889.00,$467.00,$100.00,$422.00,47.5%,$333.10,$288.65,
Pre-Made Cages,21NYLON1270,Nylon #21 12x12x70,,$1000.00,$523.00,$100.00,$477.00,47.7%,$377.00,$327.00,
Pre-Made Cages,21NYLON1470,Nylon #21 12x14x70,,$1055.00,$556.00,$100.00,$499.00,47.3%,$393.50,$340.75,
Pre-Made Cages,36NYLON1255,Nylon #36 12x12x55,,$1112.00,$662.00,$100.00,$450.00,40.5%,$338.80,$283.20,
Pre-Made Cages,36NYLON1455,Nylon #36 12x14x55,,$1167.00,$700.00,$100.00,$467.00,40.0%,$350.30,$291.95,
Pre-Made Cages,36NYLON1270,Nylon #36 12x12x70,,$1334.00,$795.00,$100.00,$539.00,40.4%,$405.60,$338.90,
Pre-Made Cages,36NYLON1470,Nylon #36 12x14x70,,$1445.00,$845.00,$100.00,$600.00,41.5%,$455.50,$383.25,
Pre-Made Cages,36POLY1255,Poly #36 12x12x55,,$889.00,$473.00,$100.00,$416.00,46.8%,$327.10,$282.65,
Pre-Made Cages,36POLY1455,Poly #36 12x14x55,,$945.00,$505.00,$100.00,$440.00,46.6%,$345.50,$298.25,
Pre-Made Cages,36POLY1270,Poly #36 12x12x70,,$1112.00,$562.00,$100.00,$550.00,49.5%,$438.80,$383.20,
Pre-Made Cages,36POLY1470,Poly #36 12x14x70,,$1167.00,$600.00,$100.00,$567.00,48.6%,$450.30,$391.95,
Bullet Pad Kits,PK-BULLETL,Bullet L Pad Kit (23'),,$149.95,$89.95,$20.00,$60.00,40.0%,$45.00,$37.51,
Bullet Pad Kits,PK-BULLETJR,Bullet JR L Pad Kit (20'),,$114.95,$89.95,$20.00,$25.00,21.7%,$13.50,$7.76,
Bullet Pad Kits,PK-BULLETFT,Bullet Front Toss Pad Kit (25'),,$114.95,$89.95,$20.00,$25.00,21.7%,$13.50,$7.76,
Bullet Pad Kits,PK-BULLETCOMBO,Bullet Combo Pad Kit (25'),,$114.95,$98.95,$20.00,$16.00,13.9%,$4.50,$-1.24,
Bullet Pad Kits,PK-BULLETCOP,Bullet Overhead Protector Pad Kit (45'),,$144.95,$98.95,$20.00,$46.00,31.7%,$31.50,$24.26,
Bullet Pad Kits,PK-BULLETLOP,Bullet Combo w/ Overhead Pad Kit (38'),,$158.95,$98.95,$20.00,$60.00,37.7%,$44.11,$36.16,
Bullet Pad Kits,PK-BULLETFP,Bullet Combo w/ Overhead Pad Kit (25'),,$114.95,$89.95,$20.00,$25.00,21.7%,$13.50,$7.76,
Bullet Pad Kits,PK-BULLETFPOH,Bullet Combo w/ Overhead Pad Kit (25'),,$114.95,$89.95,$20.00,$25.00,21.7%,$13.50,$7.76,
Bullet Pad Kits,PK-7X7 PROTECTIVE,7x7 Protective Screen Pad Kit (25'),,$149.95,$89.95,$20.00,$60.00,40.0%,$45.00,$37.51,
Bullet Pad Kits,PK-7X7 SOCKNET,7x7 Protective Screen w/ Socknet Pad Kit (25'),,$149.95,$89.95,$20.00,$60.00,40.0%,$45.00,$37.51,
Bullet Pad Kits,PK-8X8 PROTECTIVE,8x8 Protective Screen Pad Kit (26'),,$149.95,$89.95,$20.00,$60.00,40.0%,$45.00,$37.51,
Bullet Pad Kits,PK-10X10 PROTECTIVE,10x10 Protective Screen Pad Kit (34'),,$172.45,$112.45,$20.00,$60.00,34.8%,$42.75,$34.13,
Replacement Nets,RN-BULLETL,Bullet L Replacement Net,,$129.95,$84.47,$15.00,$45.48,35.0%,$32.48,$25.99,
Replacement Nets,RN-BULLETJR,Bullet JR Replacement Net,,$124.95,$81.22,$15.00,$43.73,35.0%,$31.23,$24.99,
Replacement Nets,RN-BULLETFT,Bullet Front Toss Replacement Net,,$129.95,$84.47,$15.00,$45.48,35.0%,$32.48,$25.99,
Replacement Nets,RN-BULLETCOMBO,Bullet Combo Replacement Net,,$139.95,$90.97,$15.00,$48.98,35.0%,$34.98,$27.99,
Replacement Nets,RN-BULLETCOP,Bullet Combo w/ Overhead Replacement Net,,$159.95,$103.97,$15.00,$55.98,35.0%,$39.98,$31.99,
Replacement Nets,RN-BULLETLOP,Bullet L w/ Overhead Replacement Net,,$149.95,$97.47,$15.00,$52.48,35.0%,$37.48,$29.99,
Replacement Nets,RN-BULLETFP,Bullet Fast Pitch Replacement Net,,$139.95,$90.97,$15.00,$48.98,35.0%,$34.98,$27.99,
Replacement Nets,RN-BULLETFPOH,Bullet Fast Pitch w/ Overhead Replacement Net,,$124.95,$61.72,$15.00,$63.23,50.6%,$50.73,$44.49,
Replacement Nets,RN-7X7 PROTECTIVE,7x7 Protective Screen Replacement Net,,$129.95,$84.47,$15.00,$45.48,35.0%,$32.48,$25.99,
Replacement Nets,RN-7X7 SOCKNET,7x7 Protective Screen w/ Socknet Replacement Net,,$164.95,$107.22,$15.00,$57.73,35.0%,$41.23,$32.99,
Replacement Nets,RN-8X8 PROTECTIVE,8x8 Protective Screen Replacement Net,,$169.95,$110.47,$15.00,$59.48,35.0%,$42.48,$33.99,
Replacement Nets,RN-10X10 PROTECTIVE,10x10 Protective Screen Replacement Net,,$254.95,$165.72,$15.00,$89.23,35.0%,$63.73,$50.99,
Accessories,CABLE516-500,"500' of 5/16"" Cable",,$405.95,$305.95,$100.00,$100.00,24.6%,$59.41,$39.11,
Accessories,CABLE516-1000,"1000' of 5/16"" Cable",,$657.10,$557.10,$100.00,$100.00,15.2%,$34.29,$1.43,
Accessories,CABLE14-500,"500' of 1/4"" Cable",,$279.95,$179.95,$100.00,$100.00,35.7%,$72.00,$58.01,
Accessories,CABLE14-1000,"1000' of 1/4"" Cable",,$441.95,$341.95,$100.00,$100.00,22.6%,$55.81,$33.71,
Accessories,5/16-TPLYSTER-xFT,"5/16"" Poly Twisted Rope by the FT",,$0.50/ft,$0.25/ft,$100.00,$0.25/ft,50.0%,$0.20/ft,$0.17/ft,
Accessories,5/16-TPLYSTER-1270,"5/16"" 1270' Spool Poly Twisted Rope",,$330.00,$230.00,$100.00,$100.00,30.3%,$67.00,$50.50,
Accessories,FT-TNHL-01801,#21 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,FT-TNHL-02101,#30 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,FT-TNHL-03601,#36 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,FT-TNHL-04201,#42 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,FT-TNHL-06001,#60 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
