Column 1,Retail,Wholesale,Weight
"#18",0.2699,0.21592,0.018375
"#21",0.3267,0.26136,0.0255
"#30",0.4235,0.3388,0.0339375
"#36",0.4961,0.39688,0.0409375
"#42",0.5687,0.45496,0.04475
"#48",0.70785,0.56628,0.057375
"#60",0.847,0.6776,0.07
"#72",1.0406,0.83248,0.0828125
"#96",1.5125,1.21,0.121
"Golf",0.46,0.368,0.03625
"Golf 30",0.9075,0.726,0.073125
"NTPGolf",0.242,0.1936,0.03
"Soccer 21",0.1573,0.12584,0.010625
"Soccer 36",0.2662,0.21296,0.0178125
"Lax 21",0.363,0.2904,0.029375
"Lax 30",0.5082,0.40656,0.0401875
"Poly 21",0.218405,0.174724,0.018375
"Poly 36",0.3267,0.26136,0.0339375
"UP24 (#30)",0.462,0.3696,0.0248
"UP30 (#42)",0.627,0.5016,0.032
"UP44 (#60)",0.8925,0.714,0.0498
"DN6",0.6,0.48,0.00497
"DN18",1.6,1.28,0.017
"Rope",0.25,0.25,0.02
"Sewn Rope",1,1,0.02
"Lead Rope (Bottom)",1,1,0.1
"Grommets",3,3,0.05
"Dyneema Rope",1.5,1.5,0.03
"No Border",0,0,
