category,sku,title,option,map,wholesale,profit,maxDiscount,maxDiscount%,newMinPrice,notes
Pre-Made Cages,21NYLON1255,Nylon #21 12x12x55,,$834.00,$439.00,$395.00,$390.00,46.8%,$444.00,
Pre-Made Cages,21NYLON1455,Nylon #21 12x14x55,,$889.00,$467.00,$422.00,$417.00,46.9%,$472.00,
Pre-Made Cages,21NYLON1270,Nylon #21 12x12x70,,$1000.00,$523.00,$477.00,$472.00,47.2%,$528.00,
Pre-Made Cages,21NYLON1470,Nylon #21 12x14x70,,$1055.00,$556.00,$499.00,$494.00,46.8%,$561.00,
Pre-Made Cages,36NYLON1255,Nylon #36 12x12x55,,$1112.00,$662.00,$450.00,$445.00,40.0%,$667.00,
Pre-Made Cages,36NYLON1455,Nylon #36 12x14x55,,$1167.00,$700.00,$467.00,$462.00,39.6%,$705.00,
Pre-Made Cages,36NYLON1270,Nylon #36 12x12x70,,$1334.00,$795.00,$539.00,$534.00,40.0%,$800.00,
Pre-Made Cages,36NYLON1470,Nylon #36 12x14x70,,$1445.00,$845.00,$600.00,$595.00,41.2%,$850.00,
Pre-Made Cages,36POLY1255,Poly #36 12x12x55,,$889.00,$473.00,$416.00,$411.00,46.2%,$478.00,
Pre-Made Cages,36POLY1455,Poly #36 12x14x55,,$945.00,$505.00,$440.00,$435.00,46.0%,$510.00,
Pre-Made Cages,36POLY1270,Poly #36 12x12x70,,$1112.00,$562.00,$550.00,$545.00,49.0%,$567.00,
Pre-Made Cages,36POLY1470,Poly #36 12x14x70,,$1167.00,$600.00,$567.00,$562.00,48.2%,$605.00,
Bullet Pad Kits,PK-BULLETL,Bullet L Pad Kit (23'),,$149.95,$89.95,$60.00,$55.00,36.7%,$94.95,
Bullet Pad Kits,PK-BULLETJR,Bullet JR L Pad Kit (20'),,$114.95,$89.95,$25.00,$20.00,17.4%,$94.95,
Bullet Pad Kits,PK-BULLETFT,Bullet Front Toss Pad Kit (25'),,$114.95,$89.95,$25.00,$20.00,17.4%,$94.95,
Bullet Pad Kits,PK-BULLETCOMBO,Bullet Combo Pad Kit (25'),,$114.95,$98.95,$16.00,$11.00,9.6%,$103.95,
Bullet Pad Kits,PK-BULLETCOP,Bullet Overhead Protector Pad Kit (45'),,$144.95,$98.95,$46.00,$41.00,28.3%,$103.95,
Bullet Pad Kits,PK-BULLETLOP,Bullet Combo w/ Overhead Pad Kit (38'),,$158.95,$98.95,$60.00,$55.00,34.6%,$103.95,
Bullet Pad Kits,PK-BULLETFP,Bullet Combo w/ Overhead Pad Kit (25'),,$114.95,$89.95,$25.00,$20.00,17.4%,$94.95,
Bullet Pad Kits,PK-BULLETFPOH,Bullet Combo w/ Overhead Pad Kit (25'),,$114.95,$89.95,$25.00,$20.00,17.4%,$94.95,
Bullet Pad Kits,PK-7X7 PROTECTIVE,7x7 Protective Screen Pad Kit (25'),,$149.95,$89.95,$60.00,$55.00,36.7%,$94.95,
Bullet Pad Kits,PK-7X7 SOCKNET,7x7 Protective Screen w/ Socknet Pad Kit (25'),,$149.95,$89.95,$60.00,$55.00,36.7%,$94.95,
Bullet Pad Kits,PK-8X8 PROTECTIVE,8x8 Protective Screen Pad Kit (26'),,$149.95,$89.95,$60.00,$55.00,36.7%,$94.95,
Bullet Pad Kits,PK-10X10 PROTECTIVE,10x10 Protective Screen Pad Kit (34'),,$172.45,$112.45,$60.00,$55.00,31.9%,$117.45,
Replacement Nets,RN-BULLETL,Bullet L Replacement Net,,$129.95,$84.47,$45.48,$40.48,31.2%,$89.47,
Replacement Nets,RN-BULLETJR,Bullet JR Replacement Net,,$124.95,$81.22,$43.73,$38.73,31.0%,$86.22,
Replacement Nets,RN-BULLETFT,Bullet Front Toss Replacement Net,,$129.95,$84.47,$45.48,$40.48,31.2%,$89.47,
Replacement Nets,RN-BULLETCOMBO,Bullet Combo Replacement Net,,$139.95,$90.97,$48.98,$43.98,31.4%,$95.97,
Replacement Nets,RN-BULLETCOP,Bullet Combo w/ Overhead Replacement Net,,$159.95,$103.97,$55.98,$50.98,31.9%,$108.97,
