Name,SKU,Wholesale,MAP,Shipping,Profit,Profit %
21NYLON1255,21NYLON1255,439.00,834.00,,395.00,47.36%
21NYLON1455,21NYLON1455,467.00,889.00,,422.00,47.47%
21NYLON1270,21NYLON1270,523.00,1000.00,,477.00,47.70%
21NYLON1470,21NYLON1470,556.00,1055.00,,499.00,47.30%
36NYLON1255,36NYLON1255,662.00,1112.00,,450.00,40.47%
36NYLON1455,36NYLON1455,700.00,1167.00,,467.00,40.02%
36NYLON1270,36NYLON1270,795.00,1334.00,,539.00,40.40%
36NYLON1470,36NYLON1470,845.00,1445.00,,600.00,41.52%
36POLY1255,36POLY1255,473.00,889.00,,416.00,46.79%
36POLY1455,36POLY1455,505.00,945.00,,440.00,46.56%
36POLY1270,36POLY1270,562.00,1112.00,,550.00,49.46%
36POLY1470,36POLY1470,600.00,1167.00,,567.00,48.59%
Bullet L Pad Kit (23'),PK-BULLETL,89.95,149.95,20.00,60.00,40.01%
Bullet JR L Pad Kit (20'),PK-BULLETJR,89.95,114.95,20.00,25.00,21.75%
Bullet Front Toss Pad Kit (25'),PK-BULLETFT,89.95,114.95,20.00,25.00,21.75%
Bullet Combo Pad Kit (25'),PK-BULLETCOMBO,98.95,114.95,20.00,16.00,13.92%
Bullet Combo w/ Overhead Pad Kit (45'),PK-BULLETCOP,98.95,144.95,20.00,46.00,31.74%
Bullet L w/ Overhead Pad Kit (38'),PK-BULLETLOP,98.95,158.95,20.00,60.00,37.75%
Bullet Fast Pitch Pad Kit (25'),PK-BULLETFP,89.95,114.95,20.00,25.00,21.75%
Bullet Fast Pitch w/ Overhead Pad Kit (25'),PK-BULLETFPOH,89.95,114.95,20.00,25.00,21.75%
7x7 Protective Screen Pad Kit (25'),PK-7X7 PROTECTIVE,89.95,149.95,20.00,60.00,40.01%
7x7 Protective Screen w/ Socknet Pad Kit (25'),PK-7X7 SOCKNET,89.95,149.95,20.00,60.00,40.01%
8x8 Protective Screen Pad Kit (26'),PK-8X8 PROTECTIVE,89.95,149.95,20.00,60.00,40.01%
10x10 Protective Screen Pad Kit (34'),PK-10X10 PROTECTIVE,112.45,172.45,20.00,60.00,34.79%
Bullet L Replacement Net,RN-BULLETL,84.47,129.95,15.00,45.48,35.00%
Bullet JR Replacement Net,RN-BULLETJR,81.22,124.95,15.00,43.73,35.00%
Bullet Front Toss Replacement Net,RN-BULLETFT,84.47,129.95,15.00,45.48,35.00%
Bullet Combo Replacement Net,RN-BULLETCOMBO,90.97,139.95,15.00,48.98,35.00%
Bullet Combo w/ Overhead Replacement Net,RN-BULLETCOP,103.97,159.95,15.00,55.98,35.00%
Bullet L w/ Overhead Replacement Net,RN-BULLETLOP,97.47,149.95,15.00,52.48,35.00%
Bullet Fast Pitch Replacement Net,RN-BULLETFP,90.97,139.95,15.00,48.98,35.00%
Bullet Fast Pitch w/ Overhead Replacement Net,RN-BULLETFPOH,61.72,124.95,15.00,63.23,50.60%
7x7 Protective Screen Replacement Net,RN-7X7 PROTECTIVE,84.47,129.95,15.00,45.48,35.00%
7x7 Protective Screen w/ Socknet Replacement Net,RN-7X7 SOCKNET,107.22,164.95,15.00,57.73,35.00%
8x8 Protective Screen Replacement Net,RN-8X8 PROTECTIVE,110.47,169.95,15.00,59.48,35.00%
10x10 Protective Screen Replacement Net,RN-10X10 PROTECTIVE,165.72,254.95,15.00,89.23,35.00%
"500' of 5/16"" Cable",CABLE516-500,305.95,405.95,100.00,100.00,24.63%
"1000' of 5/16"" Cable",CABLE516-1000,557.10,657.10,100.00,100.00,15.22%
"500' of 1/4"" Cable",CABLE14-500,179.95,279.95,100.00,100.00,35.72%
"1000' of 1/4"" Cable",CABLE14-1000,341.95,441.95,100.00,100.00,22.63%
"5/16"" Poly Twisted Rope by the FT",5/16-TPLYSTER-xFT,0.25,0.50,100.00,0.25,50.00%
"5/16"" 1270' Spool Poly Twisted Rope",5/16-TPLYSTER-1270,230.00,330.00,100.00,100.00,30.30%
#21 Forever Black Twine Spool,FT-TNHL-01801,10.88,35.88,100.00,25.00,69.68%
#30 Forever Black Twine Spool,FT-TNHL-02101,10.88,35.88,100.00,25.00,69.68%
#36 Forever Black Twine Spool,FT-TNHL-03601,10.88,35.88,100.00,25.00,69.68%
#42 Forever Black Twine Spool,FT-TNHL-04201,10.88,35.88,100.00,25.00,69.68%
#60 Forever Black Twine Spool,FT-TNHL-06001,10.88,35.88,100.00,25.00,69.68%
#92 Forever Black Twine Spool,FT-TNHL-9601,10.88,35.88,100.00,25.00,69.68%
Screen Bulletz Leg Caps (4-Pack),Screen Bulletz,32.00,39.95,100.00,7.95,19.90%
Bullet Wheel Kit,BWK,75.00,0.00,100.00,,
Bullet Fixed Leg Kit,Screen Component,35.00,0.00,100.00,,
Bullet Replacement Wheels (2-Pack),Screen Wheel,30.00,0.00,100.00,,
"12"" Vinyl Top by the FT",VINYL-12inchxFt,2.00,2.50,100.00,0.50,20.00%
Screen Padding by the FT,Screen Component,1.00,1.50,100.00,0.50,33.33%
Pro Batting Mat,Battingmat,475.00,575.00,,100.00,17.39%
Pro Batting Mat — Clay,Battingmat-CLAY,475.00,549.95,,74.95,13.63%
Pro Batting Mat — Green,Battingmat-GREEN,475.00,549.95,,74.95,13.63%
Pro Batting Mat — Red,Battingmat-RED,475.00,799.95,,324.95,40.62%
Armor Basket Baseball Cart,Armorbasket,200.00,299.95,,99.95,33.32%
Bullet Wheeled Ball Basket,Wbasket,350.00,450.00,100.00,100.00,22.22%
Pitcher's Pocket 9,PITCHERSPOCKET9,195.00,299.95,50.00,104.95,34.99%
Pitcher's Pocket Pro,BBPP-PRO,164.00,249.95,50.00,85.95,34.39%
Bullet L Screen,BULLETL,0.00,399.95,,,
Bullet L Screen — Option,BULLETL,295.00,399.95,75.00,104.95,26.24%
Bullet L Screen — Option,BULLETL,358.00,499.95,75.00,141.95,28.39%
Bullet L Screen — Option,BULLETL,358.00,499.95,75.00,141.95,28.39%
Bullet L Screen — Option,BULLETL,390.00,549.95,75.00,159.95,29.08%
Bullet L Screen JR,BULLETJRBB,0.00,349.95,,,
Bullet L Screen JR — Option,BULLETJRBB,258.00,349.95,75.00,91.95,26.28%
Bullet L Screen JR — Option,BULLETJRBB,321.00,449.95,75.00,128.95,28.66%
Bullet L Screen JR — Option,BULLETJRBB,321.00,449.95,75.00,128.95,28.66%
Bullet L Screen JR — Option,BULLETJRBB,358.00,499.95,75.00,141.95,28.39%
Bullet Front Toss,BULLETFT,0.00,399.95,,,
Bullet Front Toss — Option,BULLETFT,295.00,399.95,75.00,104.95,26.24%
Bullet Front Toss — Option,BULLETFT,358.00,499.95,75.00,141.95,28.39%
Bullet Front Toss — Option,BULLETFT,358.00,499.95,75.00,141.95,28.39%
Bullet Front Toss — Option,BULLETFT,390.00,549.95,75.00,159.95,29.08%
Bullet L Screen Combo,BULLETCOMBO,0.00,449.95,,,
Bullet L Screen Combo — Option,BULLETCOMBO,327.00,449.95,75.00,122.95,27.33%
Bullet L Screen Combo — Option,BULLETCOMBO,390.00,549.95,75.00,159.95,29.08%
Bullet L Screen Combo — Option,BULLETCOMBO,390.00,549.95,75.00,159.95,29.08%
Bullet L Screen Combo — Option,BULLETCOMBO,422.00,599.95,75.00,177.95,29.66%
Bullet L Screen Combo w/Overhead,BULLETCOP,0.00,799.95,,,
Bullet L Screen Combo w/Overhead — Option,BULLETCOP,532.00,799.95,125.00,267.95,33.50%
Bullet L Screen Combo w/Overhead — Option,BULLETCOP,532.00,799.95,125.00,267.95,33.50%
Bullet L Screen Combo w/Overhead — Option,BULLETCOP,574.00,849.95,125.00,275.95,32.47%
Bullet L Screen Baseball w/Overhead,BULLETLOP,0.00,599.95,,,
Bullet L Screen Baseball w/Overhead — Option,BULLETLOP,432.00,599.95,125.00,167.95,27.99%
Bullet L Screen Baseball w/Overhead — Option,BULLETLOP,474.00,699.95,125.00,225.95,32.28%
Bullet L Screen Baseball w/Overhead — Option,BULLETLOP,474.00,699.95,125.00,225.95,32.28%
Bullet L Screen Baseball w/Overhead — Option,BULLETLOP,532.00,749.95,125.00,217.95,29.06%
Bullet Hole Fast Pitch,BULLETFP,0.00,449.95,,,
Bullet Hole Fast Pitch — Option,BULLETFP,353.00,449.95,75.00,96.95,21.55%
Bullet Hole Fast Pitch — Option,BULLETFP,400.00,499.95,75.00,99.95,19.99%
Bullet Hole Fast Pitch — Option,BULLETFP,400.00,499.95,75.00,99.95,19.99%
Bullet Hole Fast Pitch — Option,BULLETFP,490.00,599.95,75.00,109.95,18.33%
Bullet Fastpitch Overhead,BULLETFPOH,0.00,349.95,,,
Bullet Fastpitch Overhead — Option,BULLETFPOH,258.00,349.95,75.00,91.95,26.28%
Bullet Fastpitch Overhead — Option,BULLETFPOH,321.00,449.95,75.00,128.95,28.66%
Bullet Fastpitch Overhead — Option,BULLETFPOH,321.00,449.95,75.00,128.95,28.66%
Bullet Fastpitch Overhead — Option,BULLETFPOH,358.00,499.95,75.00,141.95,28.39%
7x7 Protective Screen,PROTECTIVE7X7,0.00,349.95,,,
7x7 Protective Screen — Option,PROTECTIVE7X7,258.00,349.95,75.00,91.95,26.28%
7x7 Protective Screen — Option,PROTECTIVE7X7,321.00,449.95,75.00,128.95,28.66%
7x7 Protective Screen — Option,PROTECTIVE7X7,321.00,449.95,75.00,128.95,28.66%
7x7 Protective Screen — Option,PROTECTIVE7X7,358.00,499.95,75.00,141.95,28.39%
7x7 Protective Screen w/ Sock Net,SOCKNET7X7,0.00,399.95,,,
7x7 Protective Screen w/ Sock Net — Option,SOCKNET7X7,311.00,399.95,75.00,88.95,22.24%
7x7 Protective Screen w/ Sock Net — Option,SOCKNET7X7,369.00,499.95,75.00,130.95,26.19%
7x7 Protective Screen w/ Sock Net — Option,SOCKNET7X7,369.00,499.95,75.00,130.95,26.19%
7x7 Protective Screen w/ Sock Net — Option,SOCKNET7X7,406.00,549.95,75.00,143.95,26.18%
8x8 Protective Screen,PROTECTIVE8X8,0.00,449.95,,,
8x8 Protective Screen — Option,PROTECTIVE8X8,367.00,449.95,100.00,82.95,18.44%
8x8 Protective Screen — Option,PROTECTIVE8X8,421.00,549.95,100.00,128.95,23.45%
8x8 Protective Screen — Option,PROTECTIVE8X8,421.00,549.95,100.00,128.95,23.45%
8x8 Protective Screen — Option,PROTECTIVE8X8,456.00,599.95,100.00,143.95,23.99%
10 x 10 Protective Screen,PROTECTIVE10X10,0.00,549.95,,,
10 x 10 Protective Screen — Option,PROTECTIVE10X10,500.00,549.95,100.00,49.95,9.08%
10 x 10 Protective Screen — Option,PROTECTIVE10X10,548.00,649.95,100.00,101.95,15.69%
10 x 10 Protective Screen — Option,PROTECTIVE10X10,548.00,649.95,100.00,101.95,15.69%
10 x 10 Protective Screen — Option,PROTECTIVE10X10,590.00,699.95,100.00,109.95,15.71%
